День,Дорожка,08:00 - 08:45,09:00 - 09:45,10:00 - 10:45,18:00 - 18:45,19:00 - 19:45
Понедельник,,,,,,
,1,Тренировка,,,Секция,
,2,,Школа,,,Занято
,3,,,,,
,4,Аренда,,,Группа,
,5,,,,,
,6,,Занято,,,,
Вторник,,,,,,
,1,,,,,
,2,,Группа,,,Секция,
,3,,,,,
,4,Тренировка,,Занято,,
,5,,,,,
,6,,,Школа,,
Среда,,,,,,
,1,,Группа,,,,
,2,,,,,
,3,Аренда,,,Секция,
,4,,,,,
,5,,Занято,,Группа,
,6,,,,,
Четверг,,,,,,
,1,,,,,
,2,Тренировка,,,Занято,
,3,,,,,
,4,,Группа,,,
,5,,,,,
,6,,,Секция,,
Пятница,,,,,,
,1,,Школа,,,
,2,,,,,
,3,Аренда,,,Группа,
,4,,,,,
,5,,Занято,,,Секция
,6,,,,,
Суббота,,,,,,
,1,,,,,
,2,,Секция,,,
,3,,,,,
,4,,,Группа,,
,5,,,,,
,6,Аренда,,,,
Воскресенье,,,,,,
,1,,Группа,,,
,2,,,,,
,3,,,Секция,,
,4,,,,,
,5,Аренда,,,,
,6,,,,,
